x1,x2,x3
9.789229061776003959e+01,-3.633115940452950099e+01,-3.128516504278928423e+01
-3.633115940452949388e+01,1.634902173203827260e+02,1.725730071715151155e+02
-3.128516504278928778e+01,1.725730071715151155e+02,2.462445248529222397e+02
